timestamp,tilt X,tilt Y,alpha,beta,xC_det7,yC_det7,Centroid_det7,xC_det8,yC_det8,Centroid_det8,xC_det17,yC_det17,Centroid_det17
2024-099-00:08:21.200000000,0,90.142888,0.142888,0,0.000382576349548435,0.349272537863082,0.349272747390892,0.00104167310004901,-0.293000948379216,0.293002800044585,-0.00274534738340684,0.0711500252827056,0.0712029706542165
2024-099-00:08:21.300000000,0.00759680917582802,90.133955760744,0.134171,3.245846,0.000473435029851268,0.345368382295458,0.345368706790452,0.00012188690675533,-0.247990813610093,0.247990843563656,-0.00289567030265952,0.0756430355115566,0.07569843940204
2024-099-00:08:21.400000000,0.014287514142843,90.1268599760255,0.127662,6.425824,0.00122850832794332,0.3448562055457,0.344858393744578,0.000302222640327704,-0.203511635189722,0.203511859595746,-0.0028487869659481,0.0846570766214464,0.0847049951848579
2024-099-00:08:21.500000000,0.0234279217456701,90.1207777634196,0.123029,10.977655,0.00107384935268863,0.337606118236268,0.337607826068936,0.000339183542900433,-0.174247430335198,0.174247760455897,-0.00293290882464111,0.0939697037410698,0.0940154624269758
2024-099-00:08:21.600000000,0.0387208294316816,90.1146794705702,0.12104,18.656957,0.000226963168085738,0.334149988763773,0.334150065843341,-0.000218195999372771,-0.144156016522855,0.144156181654592,-0.00304348249984537,0.106261436708346,0.106305012661909
2024-099-00:08:21.700000000,0.0551617295814975,90.1095230760877,0.12263,26.732312,-2.33387676346027e-05,0.330874809772475,0.330874810595593,-0.000150258554614556,-0.116553816032102,0.116553912887034,-0.00310584623944791,0.111865466300983,0.111908573539294
2024-099-00:08:21.800000000,0.0678123421428751,90.1059700315964,0.12581,32.616018,-0.000152549252730833,0.327987971678663,0.327988007154466,-8.2329789430809e-05,-0.0962820648640444,0.0962821000637101,-0.00308905716803385,0.110616086688561,0.110659210680714
2024-099-00:08:21.900000000,0.0776318347463257,90.1035861453292,0.129448,36.849472,-0.00035730200390326,0.325176378266832,0.325176574567505,-0.000254995163358701,-0.0768530194538918,0.0768534424844692,-0.00305114187811262,0.106255437794463,0.106299235781135
2024-099-00:08:22.000000000,0.0856271599369616,90.1020044588606,0.13318,40.011655,-0.000197110678681553,0.322803730814653,0.32280379099459,-9.05725118413202e-05,-0.061416567326152,0.0614166341108634,-0.0029780943401056,0.101368286750564,0.10141202396483
2024-099-00:08:22.100000000,0.0792126704384135,90.0927221910905,0.121951,40.507332,-4.17633264562111e-08,0.31902598908382,0.319025989083822,-3.13725374761245e-05,-0.0406835840691884,0.0406835961654182,-0.00294922315313518,0.0962305572855404,0.0962757397930167
2024-099-00:08:22.200000000,0.0455748047457032,90.0670674264456,0.081087,34.197574,2.02769047048712e-05,0.308565116931748,0.308565117597981,2.0733269954543e-05,-0.00275668540175818,0.00275676336901622,-0.00287424070563758,0.0933551321314364,0.0933993680648424
2024-099-00:08:22.300000000,0.00378124225038124,90.0371983105672,0.03739,5.804232,0.000485859664819444,0.299795882571903,0.299796276272205,0.0003967482334345,0.0199227923169396,0.0199267424047344,-0.00279020939127509,0.0883758590172948,0.088419894398783
2024-099-00:08:22.400000000,0.0274612772249733,90.015408938716,0.031489,60.702559,0.000389860417594887,0.277521564663119,0.277521838499623,0.000325352135104952,0.0265215455469792,0.0265235410948899,-0.00258916267891722,0.0816940236748131,0.0817350430816478
2024-099-00:08:22.500000000,0.0511799348044382,89.9992799315648,0.051185,90.806061,0.000164571701859692,0.248966881391471,0.248966935783931,0.000141740258069745,0.0235316962668179,0.0235321231403911,-0.00236655738808205,0.0759463571164082,0.0759832202076491
2024-099-00:08:22.600000000,0.0706032993908098,89.9864276374802,0.071896,100.881456,9.42907750441323e-05,0.218513201447253,0.218513221790989,8.37191613376831e-05,0.015172736329391,0.01517296729777,-0.00216229847342755,0.0702388807673873,0.0702721559804695
2024-099-00:08:22.700000000,0.0900208595003938,89.9781654537922,0.092631,103.633781,0.000222541720420899,0.190223614281456,0.190223744456673,0.000188442382121266,0.00449381962987542,0.00449776893550938,-0.00199594506482854,0.0641676166300332,0.0641986512372396
2024-099-00:08:22.800000000,0.113846336314408,89.975737459088,0.116403,102.03068,9.12183916374006e-05,0.164905613178897,0.164905638407857,8.53615032050138e-05,-0.00598258430363981,0.00598319325581138,-0.0018005104837635,0.0587578475606938,0.0587854275136949
2024-099-00:08:22.900000000,0.136939227161693,89.9767735039973,0.138895,99.626403,0.000150549556535714,0.142406656802937,0.142406736381951,0.00013594937166318,-0.015229339777807,0.0152299465625966,-0.00165968066930994,0.0541855706484793,0.0542109823414538
2024-099-00:08:23.000000000,0.154029696136949,89.9787984407452,0.155482,97.837263,0.00028476386009792,0.124264098875901,0.124264425158192,0.000254639198674215,-0.0222220547048169,0.0222235135931602,-0.00155227526056682,0.0502999591679694,0.0503239053610107
2024-099-00:08:23.100000000,0.166521156851981,89.9815966986855,0.167535,96.306507,-4.15146406255229e-05,0.108268867313309,0.1082688752725,-3.06068224564313e-05,-0.0277610026794502,0.0277610195516307,-0.00136985183586998,0.0466675756732794,0.0466876762462376
2024-099-00:08:23.200000000,0.175825764836015,89.984923031658,0.176471,94.901079,-5.26527153537765e-06,0.0956318343570133,0.0956318345019602,4.47721492902474e-07,-0.031283425051105,0.0312834250543088,-0.00128548369764951,0.044095011348353,0.0441137449571934
2024-099-00:08:23.300000000,0.182922892754204,89.9867381632875,0.183403,94.146652,-7.10944008796418e-05,0.0846664297004703,0.0846664595494491,-5.94161239055482e-05,-0.0342425727970801,0.0342426243450923,-0.00119393346584988,0.0419330282221741,0.0419500218474618
2024-099-00:08:23.400000000,0.188778369524875,89.9846180862147,0.189404,94.658229,-1.69703251385916e-06,0.0741137692857389,0.0741137693051679,2.17558264453409e-06,-0.0375124738206941,0.0375124738837819,-0.00112314234246056,0.0396550075407723,0.0396709096414506
2024-099-00:08:23.600000000,0.195703512848385,89.9782356943384,0.19691,96.345798,-5.95544226329214e-06,0.0535071547815853,0.053507155113011,-1.0176861809906e-05,-0.0460257626454292,0.0460257637705438,-0.000951134786767902,0.0348968115066168,0.0349097709919579
2024-099-00:08:23.700000000,0.196925517721992,89.9759967204817,0.198383,96.949482,0.000196163616313326,0.0439131072372614,0.0439135453749249,0.000171919082383579,-0.0507667878299156,0.0507670789265894,-0.000911382919687909,0.032570246928098,0.0325829956232323
2024-099-00:08:23.800000000,0.197184986600747,89.9738986058994,0.198905,97.540381,0.000195365967628808,0.0351826834503697,0.0351832258701534,0.0001633527062392,-0.0555137754818368,0.0555140158190202,-0.000830281109813525,0.0302886626955029,0.0303000405049773
2024-099-00:08:23.900000000,0.196083353016241,89.9738830408002,0.197815,97.586722,4.69657250567566e-05,0.0270195410035765,0.0270195818217692,1.95725243817296e-05,-0.0599661245901527,0.0599661277843202,-0.000725460352595691,0.0284017129986672,0.0284109766460404
2024-099-00:08:24.000000000,0.192763441466975,89.9775962224486,0.194061,96.629388,2.51386204387809e-05,0.0199082163495015,0.0199082322210887,-1.64903880917674e-06,-0.0632936507802697,0.0632936508017516,-0.000662332026096505,0.0268006946593097,0.0268088775955716
2024-099-00:08:24.100000000,0.18862688230374,89.9829376457329,0.189397,95.168638,0.000149877546856257,0.0141965092681517,0.0141973004011245,0.000113519765687346,-0.0650854635327086,0.0650855625312153,-0.000639141383163183,0.0254298938261811,0.025437924477412
2024-099-00:08:24.200000000,0.184850245122854,89.9880206836624,0.185238,93.707885,0.000178570705583251,0.00992469628723141,0.00992630262941229,0.000141026192351129,-0.0657991318892503,0.0657992830186308,-0.000611024395255914,0.0246494204897898,0.0246569925435781
2024-099-00:08:24.300000000,0.181509610067433,89.9927837657763,0.181653,92.276688,0.000197340661870591,0.00710409579090762,0.00710683616971849,0.000159420981778988,-0.0654531541434526,0.0654533482900301,-0.000592285889916563,0.0243114286179063,0.0243186423144662
2024-099-00:08:24.400000000,0.178594972641288,89.9971319522497,0.178618,90.920028,0.000326326216919486,0.00554662181547834,0.00555621295162354,0.000280050331521009,-0.0641696111019299,0.0641702221997175,-0.000601056583337436,0.0236918989261355,0.0236995220150659
2024-099-00:08:24.500000000,0.171743006042782,89.9943779723363,0.171835,91.874909,0.000396933730455409,0.00354895645077842,0.00357108502781647,0.000346849266299427,-0.0634496863238194,0.0634506343467471,-0.000597684970112845,0.0231947017769995,0.023202401122458
2024-099-00:08:24.600000000,0.156633642607529,89.9776794735588,0.158216,98.110111,0.000408467831956132,-0.00146405001760445,0.00151996329685639,0.000359479816436239,-0.0659814951900129,0.0659824744401733,-0.000557266053786001,0.0219019774155173,0.0219090657072485
2024-099-00:08:24.700000000,0.139658468710063,89.9567603952218,0.146199,107.202994,0.00052345736547253,-0.00759163174699405,0.00760965703533578,0.000482535795506753,-0.0724130160824978,0.0724146237921459,-0.000527856458697769,0.0204647910302331,0.0204715975036658
2024-099-00:08:24.800000000,0.127341727544471,89.9410634925848,0.140319,114.835681,0.000516550059047379,-0.0186767730938536,0.0186839149313734,0.000549484238821518,-0.0793815453417726,0.0793834471018777,-0.000459553745271164,0.0180513777801644,0.0180572265148058
2024-099-00:08:24.900000000,0.118314553563136,89.9290195639251,0.137973,120.96076,0.00060201974264515,-0.0338761023965264,0.0338814512875478,0.000623022358591538,-0.0863873739118064,0.0863896204890237,-0.000405066382937652,0.0160368955606246,0.0160420104100754
2024-099-00:08:25.000000000,0.111167999163687,89.9190059500344,0.137544,126.076043,0.000681233892335673,-0.049727120190539,0.049731786234363,0.000645588014832241,-0.0928714632229991,0.0928737070707624,-0.00033714436015674,0.0142007365153399,0.0142047380791655
2024-099-00:08:25.100000000,0.0995746610142839,89.9124802908171,0.13257,131.313348,0.000692430724833571,-0.0650768205234162,0.0650805042216609,0.000744640543068898,-0.099086499643515,0.0990892976115114,-0.000285528337947785,0.0127125500115359,0.0127157561406144
2024-099-00:08:25.200000000,0.0769871196464938,89.9107708209095,0.117851,139.212279,0.000622888029702825,-0.0798690794789775,0.0798715083513312,0.000839486514364062,-0.104895409222455,0.104898768408185,-0.000235878045426662,0.0113803956250555,0.0113828398493125
2024-099-00:08:25.300000000,0.051745244230383,89.9116719524631,0.102369,149.63692,0.00059778867723049,-0.0938318422045339,0.0938337463964814,0.000833867849106714,-0.110710956188711,0.110714096463858,-0.00017446246742277,0.00979369782593677,0.0097952516179166
2024-099-00:08:25.400000000,0.032424928138632,89.9132956483286,0.092569,159.495643,0.000565665986475812,-0.1072946943704,0.107296185477611,0.000792288367578766,-0.116321483087017,0.116324181271224,-0.0001105078200151,0.00835447143400695,0.00835520226684684
